Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Non-Violent,Property,Break and Enter Commercial,151 AV/26 ST,12237,2025/01/07,-12621199.8731,7097228.9259
Non-Violent,Property,Theft Under $5000,127B AV/128 AV,12238,2025/01/06,-12625477.9521,7092349.7495
Non-Violent,Property,Theft Under $5000,26 AV/92 ST,12239,2025/01/06,-12631503.405,7067685.2108
Non-Violent,Property,Theft of Motor Vehicle,73 ST/78 AV,12240,2025/01/07,-12628067.2431,7078683.3414
Non-Violent,Property,Fraud Personal,118 AV/70 ST,12241,2025/01/07,-12629102.5585,7089208.13
Non-Violent,Property,Theft Under $5000,WARE CR/WARE RD,12242,2025/01/07,-12648071.0371,7065331.5143
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,107 ST/108 AV,12243,2025/01/07,-12635291.8396,7085950.083
Violent,Personal Violence,Assault,102 AV/153 ST,12244,2025/01/06,-12644230.3384,7084126.9564
Non-Violent,Property,Theft Under $5000,29 ST/41A AV,12245,2025/01/07,-12621941.0587,7071973.1176
Non-Violent,Property,Internet Fraud,181 ST/66 AV,12246,2025/01/04,-12649768.7789,7076190.11860001
Non-Violent,Property,Theft Under $5000,48 AV/CALGARY TR,12247,2025/01/07,-12634194.1239,7073320.7994
Disorder,General Disorder,Trouble with Person,104 AV/147 ST,12248,2025/01/07,-12643033.6939,7084696.8011
Non-Violent,Property,Theft Over $5000,94A AV/229 ST,12249,2025/01/07,-12658270.1476,7081776.0084
Non-Violent,Property,Theft of Motor Vehicle,88 AV/90 ST,12250,2025/01/07,-12630905.4738,7080420.4186
Non-Violent,Property,Theft Under $5000,20 AV/98 ST,12251,2025/01/07,-12633037.0478,7066570.191
Non-Violent,Property,Theft Under $5000,81 ST/ARGYLL RD,12252,2025/01/07,-12629372.0887,7076746.5454
Disorder,General Disorder,Trouble with Person,133 AV/59 ST,12253,2025/01/07,-12627213.3675,7093487.5472
Non-Violent,Property,Theft Over $5000,102 ST/105 AV,12254,2025/01/07,-12634268.2074,7084970.4311
Non-Violent,Property,Fraud - Financial,114 ST/NOT NAMED RD,12255,2025/01/07,-12637609.3415,7080398.4468
Disorder,Provincial Statute Violations,Intoxicated Person,97 ST/127 AV,12256,2025/01/04,-12633869.4501,7091907.6037
Disorder,General Disorder,Trouble with Person,162 ST SW/18 AV SW,12257,2025/01/07,-12646066.7469,7060699.4719
Non-Violent,Property,Theft Under $5000,106 AV/90 ST,12259,2025/01/07,-12632005.9594,7085918.0997
Non-Violent,Property,Property Damage,91 ST SW/EDWARDS DR SW,12260,2025/01/07,-12631427.6067,7063020.871
Violent,Personal Violence,Assault,109 ST/113 AV,12261,2025/01/07,-12635688.2412,7087752.557
Non-Violent,Property,Theft Under $5000,23 AV/HEWES WY,12262,2025/01/07,-12626335.6415,7067476.7175
Non-Violent,Property,Fraud Personal,87 ST/96 AV,12263,2025/01/07,-12630359.8935,7082392.321
Non-Violent,Property,Theft Under $5000,117 AV/122 ST,12265,2025/01/07,-12638376.9229,7088841.484
Disorder,Mischief/Graffiti,Mischief - Property,130 AV/65 ST,12266,2025/01/07,-12628229.2335,7092735.1577
Disorder,Mischief/Graffiti,Mischief - Property,103A AV/96 ST,12267,2025/01/07,-12632955.6873,7084877.394
Violent,Personal Violence,Assault,WHITELAW LN/WINDERMERE RD,12275,2025/01/15,-12647548.6763,7065235.8321
Non-Violent,Property,Theft Under $5000,23 AV/PARSONS RD,12276,2025/01/15,-12632521.2514,7067283.6591
Non-Violent,Property,Theft of Motor Vehicle,161 AV/161 AV,12277,2025/01/15,-12636789.6467,7098771.0811
Disorder,Mischief/Graffiti,Graffiti,139 AV/34 ST,12278,2025/01/15,-12622927.0917,7095283.1585
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12279,2025/01/15,-12638651.2484,7094849.6181
Disorder,General Disorder,Suspicious Vehicle,98A AV/221 ST,12280,2025/01/14,-12656639.9919,7083191.1689
Violent,Personal Violence,Assault,90 AV/90 AV,12281,2025/01/15,-12627004.8905,7080755.435
Disorder,Mischief/Graffiti,Mischief - Property,MCCONACHIE BV/MCCONACHIE BV,12284,2025/01/14,-12628181.2107,7102282.8562
Violent,Personal Violence,Robbery Personal,119 AV/WAYNE GRETZKY DR,12285,2025/01/15,-12629436.5558,7089507.4761
Disorder,General Disorder,Trouble with Person,104 AV/160 ST,12286,2025/01/15,-12645609.0034,7084715.9303
Non-Violent,Property,Theft Under $5000,105 ST/JASPER AV,12287,2025/01/14,-12634881.2424,7083690.8583
Non-Violent,Property,Break and Enter Residential,DESROCHERS GT SW/DESROCHERS GT SW,12288,2025/01/15,-12639475.1339,7057185.9994
Non-Violent,Property,Theft Under $5000,109 AV/166A ST,12289,2025/01/15,-12646811.8382,7086505.46
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,12290,2025/01/15,-12625669.0754,7093543.5513
Non-Violent,Property,Fraud General,117A AV/127 ST,12291,2025/01/15,-12639347.21,7088941.2409
Disorder,Provincial Statute Violations,Intoxicated Person,101A AV/100 ST,12292,2025/01/15,-12633705.1306,7083937.8521
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,23 ST/44 AV,12294,2025/01/15,-12621170.0046,7072548.4724
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12295,2025/01/15,-12638651.2484,7094849.6181
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12296,2025/01/15,-12638651.2484,7094849.6181
Non-Violent,Property,Break and Enter Residential,117 AV/122 ST,12297,2025/01/15,-12638376.9229,7088841.484
Disorder,General Disorder,Trouble with Person,104 ST/JASPER AV,12298,2025/01/15,-12634678.8409,7083689.0455
Non-Violent,Property,Theft Under $5000,23 AV/23 AV,12299,2025/01/15,-12632504.477,7067238.8046
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,100 AV/213 ST,12302,2025/01/15,-12655480.7021,7083433.1404
Non-Violent,Property,Theft Under $5000,102 AV/108 ST,12303,2025/01/15,-12635495.512,7084079.5456
Non-Violent,Property,Possession Stolen Property,129 AV/78 ST,12304,2025/01/15,-12630333.0721,7092438.7489
Non-Violent,Property,Theft Under $5000,126 ST SW/16 AV SW,12307,2025/01/15,-12639117.9328,7060812.1739
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,75 AV/77 ST,12308,2025/01/15,-12628782.3856,7078153.4135
Disorder,Provincial Statute Violations,Intoxicated Person,115 ST/JASPER AV,12309,2025/01/15,-12636928.6946,7083691.2179
Disorder,General Disorder,Trouble with Person,104 AV/95 ST,12310,2025/01/15,-12632617.2194,7085149.4998
Non-Violent,Property,Possession Stolen Property,LEGER RD/LEGER RD,12311,2025/01/16,-12643914.1902,7067931.8168
Non-Violent,Property,Possession Stolen Property,103 ST/105 AV,12312,2025/01/15,-12634475.0834,7084979.37919999
Weapons,Weapons Violations,Weapons Complaint Firearm,130 AV/32 ST,12313,2025/01/15,-12622452.406,7092664.038
Non-Violent,Property,Theft Over $5000,102 AV/104 ST,12314,2025/01/15,-12634676.8349,7084077.6556
Drugs,Drug Violations,Drugs,100 AV/116 ST,12315,2025/01/15,-12637137.4963,7083299.6235
Disorder,General Disorder,Trespassing,184 ST/STONY PLAIN RD,12318,2025/01/15,-12650317.3231,7083832.2811
Non-Violent,Property,Theft Under $5000,26 AV SW/119A ST SW,12320,2025/01/15,-12638858.4998,7059057.4896
Disorder,General Disorder,Trespassing,178 ST/89 AV,12322,2025/01/15,-12649246.1599,7080473.0577
Non-Violent,Property,Possession Stolen Property,111 AV/163 ST,12323,2025/01/15,-12646263.7254,7087093.756
Disorder,General Disorder,Trouble with Person,119 AV/WAYNE GRETZKY DR,12324,2025/01/15,-12629603.466,7089507.9693
Violent,Personal Violence,Assault,130 AV/83 ST,12325,2025/01/15,-12631321.248,7092725.6669
Violent,Personal Violence,Assault,106 ST/133 AV,12326,2025/01/15,-12635020.6541,7093452.0749
Non-Violent,Property,Break and Enter Commercial,100 AV/113 ST,12327,2025/01/16,-12636519.4474,7083298.8521
Disorder,Mischief/Graffiti,Mischief - Property,67A ST/166 AV,12328,2025/01/16,-12628653.6676,7100043.2717
Non-Violent,Property,Fraud General,25 AV/52 ST,12329,2025/01/16,-12626104.4133,7067881.2863
Violent,Personal Violence,Robbery Personal,110 ST/98 AV,12330,2025/01/15,-12635905.9069,7082702.4316
Disorder,Mischief/Graffiti,Mischief - Property,109 ST/CASTLE DOWNS RD,12331,2025/01/16,-12635840.2602,7100014.4256
Non-Violent,Property,Theft Under $5000,137 AV/132 ST,12332,2025/01/15,-12640202.8711,7094620.121
Non-Violent,Property,Theft Under $5000,137 AV/93 ST,12333,2025/01/08,-12633073.151,7094622.7427
Non-Violent,Property,Theft of Motor Vehicle,BYRNE PL SW/BYRNE PL SW,12335,2025/01/08,-12635546.3167,7061544.5
Non-Violent,Property,Theft Under $5000,48 AV/CALGARY TR,12336,2025/01/06,-12634194.1239,7073320.7994
Non-Violent,Property,Theft of Motor Vehicle,111 AV/113 AV,12338,2025/01/08,-12654404.1308,7087004.2859
Non-Violent,Property,Theft of Motor Vehicle,72 ST/84 AV,12339,2025/01/08,-12627902.3111,7079779.5197
Non-Violent,Property,Theft of Motor Vehicle,51 AV/51 AV,12340,2025/01/07,-12632055.8121,7073772.1648
Non-Violent,Property,Theft of Motor Vehicle,116B AV/145 ST,12343,2025/01/07,-12642578.2221,7088896.522
Disorder,Provincial Statute Violations,Intoxicated Person,111 ST/ANTHONY HENDAY DR,12344,2025/01/08,-12636936.0235,7063981.7221
Non-Violent,Property,Theft Over $5000,138A AV/28 ST,12345,2025/01/08,-12621949.7637,7095033.0189
Disorder,Mischief/Graffiti,Mischief - Property,130 AV/65 ST,12346,2025/01/08,-12628229.2335,7092735.1577
Disorder,General Disorder,Trouble with Person,EDGEMONT WY/ELLIS CR,12347,2025/01/06,-12653945.571,7071368.5772
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12350,2025/01/08,-12638651.2484,7094849.6181
Non-Violent,Property,Possession Stolen Property,103A AV/96 ST,12351,2025/01/08,-12632955.6873,7084877.394
Non-Violent,Property,Break and Enter Residential,TOMPKINS PL/TOMPKINS WN,12352,2025/01/08,-12643643.5554,7066714.7184
Non-Violent,Abandoned/Recovered/Seized Vehicles,Abandoned Vehicle,WINDERMERE WY SW/WINDERMERE WY SW,12353,2025/01/08,-12647963.3162,7064218.0616
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12354,2025/01/08,-12638651.2484,7094849.6181
Non-Violent,Property,Theft of Motor Vehicle,118 AV/109 ST,12355,2025/01/08,-12635611.1777,7089208.9755
Non-Violent,Property,Theft of Motor Vehicle,101 ST/SASKATCHEWAN DR,12356,2025/01/08,-12633787.0922,7080674.1256
Disorder,General Disorder,Suspicious Vehicle,100A AV/162 ST,12357,2025/01/08,-12645987.9373,7083565.4726
Disorder,Mischief/Graffiti,Mischief - Property,17 AV/94 ST,12358,2025/01/08,-12631403.6373,7066274.1669
Non-Violent,Property,Fraud General,105 ST/79 AV,12359,2025/01/07,-12634813.53,7078865.5929
Non-Violent,Property,Theft Over $5000,84 ST/JASPER AV,12360,2025/01/09,-12631506.0898,7086442.1803
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12361,2025/01/08,-12638651.2484,7094849.6181
Non-Violent,Property,Internet Fraud,139 AV/EAST CLAREVIEW TC,12362,2025/01/06,-12624762.1709,7095059.8663
Disorder,Mischief/Graffiti,Mischief - Property,50 ST/50 ST,12363,2025/01/08,-12625710.9256,7083144.9733
Disorder,General Disorder,Trouble with Person,109 ST/JASPER AV,12364,2025/01/08,-12635701.7917,7083690.5436
Disorder,Mischief/Graffiti,Mischief - Property,60 ST/125A AV,12365,2025/01/07,-12627373.0315,7091572.7119
Disorder,Mischief/Graffiti,Mischief - Property,VICTORIA TR/139 AV,12366,2025/01/08,-12622081.2035,7095272.6335
Disorder,Mischief/Graffiti,Mischief - Property,103A AV/93 ST,12367,2025/01/08,-12632201.4219,7085108.9287
Non-Violent,Property,Theft Under $5000,87 AV/114 ST,12368,2025/01/08,-12637607.1698,7080313.2322
Disorder,Mischief/Graffiti,Mischief - Property,53 AV/53 AV,12369,2025/01/09,-12636427.2564,7074253.7838
Non-Violent,Property,Theft Under $5000,23 AV/PARSONS RD,12370,2025/01/08,-12632521.2514,7067283.6591
Violent,Personal Violence,Assault,148 AV/32 ST,12371,2025/01/08,-12622546.8725,7096940.5101
Non-Violent,Property,Theft Under $5000,227 ST/ROSENTHAL BV,12372,2025/01/07,-12657915.6392,7079341.1911
Disorder,General Disorder,Suspicious Person,165 ST/99A AV,12373,2025/01/08,-12646554.1725,7083214.1562
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,116 AV/ST ALBERT TR,12374,2025/01/07,-12639944.5409,7088547.9517
Non-Violent,Property,Fraud - Financial,106 ST/117 AV,12377,2025/01/07,-12635087.7027,7088791.2166
Non-Violent,Property,Fraud Personal,170 AV/92 ST,12378,2025/01/08,-12632741.5214,7102494.7637
Non-Violent,Property,Theft of Motor Vehicle,20 AV/46 ST,12379,2025/01/09,-12625006.2692,7067036.2327
Disorder,Mischief/Graffiti,Mischief - Property,125 ST/129 AV,12380,2025/01/08,-12639009.9382,7092434.5835
Disorder,Disputes/Disturbances,Dispute,127 AV/89 ST,12381,2025/01/09,-12632309.5549,7091934.3037
Non-Violent,Property,Break and Enter Residential,15A AV/33B ST,12382,2025/01/09,-12622820.415,7065237.2874
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,12383,2025/01/09,-12624378.4956,7094314.4636
Non-Violent,Property,Theft Under $5000,123A AV/141 ST,12384,2025/01/08,-12641949.0824,7090512.0013
Non-Violent,Property,Break and Enter Commercial,117 AV/88 ST,12385,2025/01/03,-12632170.4395,7088929.9768
Non-Violent,Property,Internet Fraud,147 AV/75A ST,12386,2025/01/03,-12630021.4731,7096394.0398
Non-Violent,Property,Theft Under $5000,100 ST/168 AV,12387,2025/01/04,-12634585.7109,7100395.0121
Non-Violent,Property,Fraud Personal,100 ST/105A AV,12388,2025/01/04,-12633845.0477,7085163.5066
Non-Violent,Property,Theft Under $5000,113 ST/113 ST,12389,2025/01/04,-12636520.3107,7084973.0267
Non-Violent,Property,Theft Under $5000,102 AV/121 ST,12390,2025/01/04,-12638194.0237,7084081.57329999
Violent,Personal Violence,Assault,101 ST/82 AV,12391,2025/01/04,-12633792.959,7079406.4797
Non-Violent,Property,Theft Under $5000,111 AV/KINGSWAY ,12392,2025/01/03,-12635203.2662,7087059.658
Violent,Personal Violence,Assault,178 ST/178 ST,12393,2025/01/03,-12649341.2956,7076494.7496
Disorder,Mischief/Graffiti,Mischief - Property,42A AV/83 ST,12394,2025/01/04,-12629912.1891,7072225.0416
Non-Violent,Property,Break and Enter Residential,137 ST/175 ST,12395,2025/01/04,-12641221.9323,7088116.4624
Non-Violent,Property,Break and Enter Commercial,107 ST/99 AV,12396,2025/01/04,-12635293.8243,7083000.8077
Violent,Personal Violence,Assault,175 ST/81 AV,12398,2025/01/04,-12648575.3494,7078682.0539
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,12399,2025/01/02,-12636950.3814,7088310.2447
Non-Violent,Property,Theft Under $5000,178 ST/89 AV,12400,2025/01/04,-12649246.1599,7080473.0577
Non-Violent,Property,Fraud - Financial,119 ST/28 AV,12401,2025/01/03,-12638940.6627,7068382.3934
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12403,2025/01/16,-12638651.2484,7094849.6181
Disorder,General Disorder,Suspicious Person,178 ST/89 AV,12404,2025/01/16,-12649246.1599,7080473.0577
Non-Violent,Property,Fraud General,103A AV/96 ST,12405,2025/01/16,-12632955.6873,7084877.394
Non-Violent,Property,Theft of Motor Vehicle,52 ST/52 ST,12406,2025/01/16,-12625936.8138,7067168.9715
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,12407,2025/01/16,-12638651.2484,7094849.6181
Non-Violent,Property,Theft Under $5000,48 AV/CALGARY TR,12408,2025/01/16,-12634194.1239,7073320.7994
Non-Violent,Property,Theft Over $5000,KING WN SW/KING WN SW,12409,2025/01/16,-12649608.0976,7059835.0073
Non-Violent,Property,Fraud - Financial,80 ST/LAKEWOOD RD,12410,2025/01/15,-12629697.0574,7069015.7104
Non-Violent,Property,Fraud Personal,102A AV/167 ST,12411,2025/01/16,-12647045.4677,7084329.58649999
Non-Violent,Property,Theft Under $5000,81 AV/GATEWAY BV,12412,2025/01/15,-12634180.9304,7079222.2281
Disorder,Mischief/Graffiti,Mischief - Property,109 AV/97 ST,12413,2025/01/16,-12633750.9722,7086411.7836
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,104 AV/148 ST,12414,2025/01/16,-12643224.0986,7084698.5338
Disorder,General Disorder,Trouble with Person,109 AV/113 ST,12415,2025/01/16,-12636520.8481,7086247.1404
Non-Violent,Property,Theft Under $5000,23 AV/HEWES WY,12416,2025/01/16,-12626335.6415,7067476.7175
Disorder,Mischief/Graffiti,Mischief - Property,102 ST/107 AV,12417,2025/01/16,-12634268.487,7085650.2228
Non-Violent,Property,Theft Under $5000,137 AV/137 AV,12418,2025/01/16,-12625048.6376,7094220.1598
Non-Violent,Property,Break and Enter Residential,36 AV/MILL WOODS RD,12420,2025/01/17,-12629251.7241,7070094.4426
Disorder,Mischief/Graffiti,Mischief - Property,123 AV/82 ST,12421,2025/01/16,-12631122.8259,7090689.8857
Disorder,General Disorder,Trouble with Person,101 ST/115 AV,12422,2025/01/16,-12634061.1788,7088343.4295
Violent,Personal Violence,Robbery Personal,100 ST/102A AV,12423,2025/01/16,-12633749.629,7084349.2571
Disorder,General Disorder,Suspicious Person,100 AV/105 ST,12424,2025/01/16,-12634882.3213,7083296.6473
Non-Violent,Property,Break and Enter Residential,112 ST/49 AV,12425,2025/01/16,-12637131.3349,7073483.9136
Disorder,Disputes/Disturbances,Dispute,64 ST/84 AV,12426,2025/01/16,-12626840.4497,7079651.5664
Non-Violent,Property,Possession Stolen Property,106A AV/96 ST,12427,2025/01/17,-12633189.6289,7085691.3134
Non-Violent,Property,Theft Under $5000,34 AV/92 ST,12428,2025/01/16,-12631440.3951,7069457.2517
Violent,Personal Violence,Assault,45A ST/33 AV,12429,2025/01/16,-12624724.0673,7069100.6967
Non-Violent,Property,Fraud - Financial,186 ST/186 ST,12430,2025/01/16,-12651067.7506,7084109.3406
Disorder,Provincial Statute Violations,Intoxicated Person,82 ST/82 ST,12431,2025/01/17,-12631127.6164,7096001.2765
Non-Violent,Property,Theft Under $5000,137 AV/137 AV,12432,2025/01/17,-12625048.6376,7094220.1598
Non-Violent,Property,Fraud - Financial,111 AV/83 ST,12433,2025/01/16,-12631318.1187,7087195.2888
Disorder,General Disorder,Suspicious Person,150 AV/89A ST,12434,2025/01/16,-12632345.4536,7096820.4308
Non-Violent,Property,Theft Under $5000,100 ST/MACDONALD DR,12435,2025/01/17,-12633666.1019,7083618.4576
Non-Violent,Property,Theft Under $5000,111 AV/156 ST,12436,2025/01/17,-12644761.7499,7087049.1706
Non-Violent,Property,Theft Under $5000,133 ST/140 AV,12437,2025/01/17,-12640396.5217,7095064.0088
Non-Violent,Property,Theft Under $5000,66 ST/66 ST,12438,2025/01/17,-12627424.9155,7068455.9364
Disorder,General Disorder,Trouble with Person,136 AV/54 ST,12439,2025/01/15,-12625904.2142,7094147.2783
Non-Violent,Property,Theft Under $5000,133 ST/140 AV,12440,2025/01/17,-12640396.5217,7095064.0088
Disorder,Disputes/Disturbances,Dispute,178 ST/81 AV,12441,2025/01/17,-12649231.9943,7078812.8563
Non-Violent,Property,Theft Under $5000,137 AV/137 AV,12442,2025/01/17,-12625048.6376,7094220.1598
Drugs,Drug Violations,Drugs,139 AV/26 ST,12443,2025/01/16,-12621664.0978,7095675.0728
Disorder,Provincial Statute Violations,Intoxicated Person,149 ST/149 ST,12444,2025/01/17,-12643442.6012,7081816.8416
Non-Violent,Property,Theft Under $5000,18A AV SW/18A AV SW,12445,2025/01/17,-12625901.1693,7061062.0402
Non-Violent,Property,Break and Enter Residential,102 AV/117 ST,12447,2025/01/17,-12637338.4692,7084081.2017
Non-Violent,Property,Break and Enter Residential,114 AV/36 ST,12449,2025/01/11,-12623223.9193,7088537.1181
Disorder,Provincial Statute Violations,Intoxicated Person,120 AV/125 ST,12450,2025/01/11,-12638961.7356,7089796.9839
Non-Violent,Property,Theft Over $5000,120 AV/41 ST,12451,2025/01/11,-12624136.2281,7089798.5113
Non-Violent,Property,Theft of Motor Vehicle,103 AV/119 ST,12452,2025/01/12,-12637745.4852,7084376.4601
Non-Violent,Property,Theft Under $5000,CAVANAGH CM SW/CAVANAGH CM SW,12453,2025/01/12,-12636355.0986,7059441.1155
Violent,Personal Violence,Assault,178 ST/89 AV,12454,2025/01/12,-12649246.1599,7080473.0577
Non-Violent,Property,Theft Over $5000,86 ST/JASPER AV,12456,2025/01/11,-12631634.6126,7086260.0682
Disorder,General Disorder,Trouble with Person,17 AV/17 AV,12457,2025/01/12,-12653701.1411,7066457.2225
