Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Non-Violent,Property,Fraud Personal,109 ST/113 AV,15757,2025/03/20,-12635688.2412,7087752.557
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,15758,2025/03/21,-12624378.4956,7094314.4636
Non-Violent,Property,Internet Fraud,16 ST/FRASER WY,15759,2025/03/21,-12619911.9689,7097447.2402
Violent,Personal Violence,Assault,104 ST/82 AV,15760,2025/03/20,-12634497.3497,7079408.549
Disorder,Provincial Statute Violations,Intoxicated Person,75 ST/75 ST,15761,2025/03/21,-12629982.8723,7100039.2517
Non-Violent,Property,Theft Under $5000,111 ST SW/111 ST SW,15762,2025/02/21,-12636569.6636,7058891.8876
Non-Violent,Property,Theft Under $5000,111 AV/GROAT RD,15763,2025/02/22,-12640559.4848,7087066.9332
Non-Violent,Property,Theft Under $5000,104 AV/117 ST,15764,2025/02/22,-12637337.8268,7084680.7518
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,14A AV/57 ST,15765,2025/02/22,-12626619.5088,7065558.901
Non-Violent,Property,Theft Under $5000,DONSDALE DR/DRYSDALE RU,15766,2025/02/21,-12649820.4953,7072868.9045
Weapons,Weapons Violations,Weapons Complaint,101 ST/33 AV,15767,2025/02/22,-12632853.0134,7069814.8759
Non-Violent,Property,Possession Stolen Property,VICTORIA TR/YELLOWHEAD TR,15768,2025/02/22,-12621767.3088,7090158.8491
Disorder,Mischief/Graffiti,Mischief - Property,105 ST/106 ST,15769,2025/02/22,-12634869.8942,7085613.1439
Non-Violent,Property,Theft Under $5000,SOUTHGATE TC/SOUTHGATE TC,15770,2025/02/22,-12636628.0401,7073562.2785
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,HABITAT CR/HERMITAGE RD,15771,2025/02/22,-12625072.1056,7092774.2162
Violent,Personal Violence,Assault,18 ST/FORT RD,15772,2025/02/22,-12620171.4166,7101479.1657
Disorder,General Disorder,Trouble with Person,MCDOUGALL HL/GRIERSON HL,15773,2025/02/22,-12633674.2349,7083244.9427
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,15774,2025/02/22,-12636950.3814,7088310.2447
Weapons,Weapons Violations,Weapons Complaint,156 ST/87 AV,15775,2025/02/22,-12644821.5021,7079676.0833
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,15776,2025/02/22,-12638651.2484,7094849.6181
Non-Violent,Property,Theft Under $5000,BELLAMY HL/ROSSDALE RD,15777,2025/02/21,-12634525.3962,7082524.8307
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,15778,2025/02/22,-12638651.2484,7094849.6181
Non-Violent,Property,Theft Under $5000,104A ST/104A ST,15779,2025/02/22,-12634859.1312,7103210.7972
Non-Violent,Property,Internet Fraud,19 AV SW/77 ST SW,15780,2025/02/20,-12629854.7225,7060288.129
Non-Violent,Property,Theft Under $5000,103 AV/105 ST,15781,2025/02/22,-12634882.8024,7084377.4907
